,commentNum,uid,rankDate,nri,followerNum,name,followerNumInc,type,rankPosition,repostNum,likeNum,opusNum,huoshanFansNum,originalMusicBeUsedNum,toutiaoFansNum,followingNum,originalMusicNum,likeOpusNum,likeNum.1,fansTotal,douyinFansNum,dynamicNum,opusNum.1
108,2506,59594284610,2019-01-13,859.8,340257,108,123113,Funny,1,5432,683545,5,0,0,12,31,0,565,4795067,425258,425246,178,174
109,2104,62595850082,2019-01-13,852.5,7676892,109,5531,Funny,1,443,136477,1,0,0,68845,32,0,422,70771573,7738547,7669702,86,73
110,1213,58960191370,2019-01-13,849.9,3088967,110,11044,Funny,1,1448,94842,1,443538,0,74180,7,0,630,40172396,3677457,3159739,190,190
111,5668,62785401268,2019-01-13,825.7,1385742,111,3392,Funny,1,1840,116893,2,0,0,125,864,0,2692,14155554,1405706,1405581,338,290
112,211,99089034191,2019-01-13,802.8,557881,112,18675,Funny,1,4509,31693,2,0,0,0,6,0,3846,6497059,990907,990907,414,414
113,778,59873257068,2019-01-13,800.4,2014263,113,1896,Funny,1,1531,45767,1,8,0,47009,35,0,3321,16807844,2043522,1996505,454,449
114,1492,94750556737,2019-01-13,776.9,373122,114,2803,Funny,1,3508,20783,15,0,0,11,288,0,26852,3715080,470758,470747,159,125
115,1821,66832631569,2019-01-13,775.4,4031066,115,1717,Funny,1,65,53503,1,0,0,0,67,0,77,45354849,4046239,4046239,262,260
116,190,97106911962,2019-01-13,768.9,362661,116,69138,Funny,1,524,9600,1,0,0,0,35,0,288,5754403,541732,541732,57,55
117,213,56913513592,2019-01-13,754.4,3073097,117,1863,Funny,1,182,11971,1,0,0,0,27,0,443,12856993,3081905,3081905,145,145
118,664,102042124869,2019-01-13,751.2,606556,118,2059,Funny,1,812,22653,2,0,0,0,8,0,285,11586037,778379,778379,29,29
119,542,51125674065,2019-01-13,750.2,1598847,119,6051,Funny,1,65,16951,1,274,0,2167720,7,0,544,11629565,4262453,2094459,310,307
120,366,98782929156,2019-01-13,740.9,1704720,120,3752,Funny,1,67,22529,1,0,0,172915,3,0,40,24366915,2190178,2017263,183,182
121,326,22876247389,2019-01-13,740.3,1832148,121,521,Funny,1,438,19577,1,12555,0,616872,24,0,11,13354668,2483619,1854192,159,145
122,391,73550554515,2019-01-13,728.1,954940,122,2983,Funny,1,145,5013,1,14,0,20731,64,0,3226,12386021,1122379,1101634,431,430
123,450,57712610907,2019-01-13,726.2,1286828,123,451,Funny,1,305,24068,1,475712,0,181835,138,0,405,15138706,1929357,1271810,105,100
124,1859,6556303280,2019-01-13,720.9,29540248,124,-12182,Funny,1,125,69891,5,0,0,0,8,0,222,205020344,32339193,32339193,554,554
125,294,57610050116,2019-01-13,720.1,533842,125,5598,Funny,0,131,11684,1,0,0,0,2,0,943,2209053,641944,641944,97,97
126,264,63453057372,2019-01-13,718.1,175372,126,4100,Funny,0,1037,15435,2,18503,0,14381,37,0,1,5591713,444387,411503,121,121
127,4887,52594916903,2019-01-13,717.1,5111649,127,-2039,Funny,0,1144,74274,1,84815,0,46930,106,0,17,32060038,5189364,5057619,158,138
128,35,103740865720,2019-01-13,714.0,473519,128,50883,Funny,0,76,4034,1,0,0,0,8,0,236,3914371,503345,503345,120,90
129,2225,70928278802,2019-01-13,710.5,10906798,129,-8639,Funny,0,271,143399,1,2025726,0,351159,423,0,2137,110675485,13135254,10758369,205,204
130,39,78741393728,2019-01-13,710.5,183743,130,5024,Funny,0,1836,19486,2,77461,0,51685,73,0,969,1033924,334280,205134,425,422
131,45,96149691860,2019-01-13,701.6,3888927,131,2638,Funny,0,19,1959,1,0,0,0,3,0,4,15753319,5307425,5307425,415,413
132,1842,67425489733,2019-01-13,699.2,8122229,132,-10199,Funny,0,364,38488,1,26,0,168885,226,0,12911,55881376,8141076,7972165,467,457
133,1639,57974384719,2019-01-13,697.4,4421242,133,-161,Funny,0,1013,34612,1,1423,0,131722,15,0,685,35229903,4529477,4396332,256,256
134,461,60339768443,2019-01-13,695.5,14916450,134,-2706,Funny,0,232,82490,2,0,0,0,8,0,216,157342115,14744208,14744208,580,575
135,405,97857052850,2019-01-13,695.2,116988,135,890,Funny,0,2146,7171,7,0,0,46729,65,0,31,1118531,222515,175786,403,403
136,4274,80343351806,2019-01-13,692.2,6412261,136,-1908,Funny,0,155,157764,2,167193,0,115924,418,0,1580,59295736,6692578,6409461,131,129
137,660,59254394778,2019-01-13,691.7,942859,137,90,Funny,0,289,14712,2,0,0,0,198,0,2744,5515476,1274217,1274217,88,60
138,411,4520589737,2019-01-13,689.5,182662,138,3709,Funny,0,183,6638,1,0,0,5992,47,0,238,778981,246023,240031,110,110
139,1026,97254948635,2019-01-13,689.3,5606692,139,-3921,Funny,0,703,17016,1,0,33716,804659,10,8,273,2143024,6544340,5739681,47,33
140,219,16011544442,2019-01-13,688.4,1838951,140,793,Funny,0,24,7311,2,153,0,11169,184,0,1818,18105456,1875284,1863962,200,198
141,950,54616977613,2019-01-13,687.6,6801637,141,-3052,Funny,0,455,22087,1,36,0,782427,0,0,82,51476301,7607866,6825403,462,462
142,54,85600319303,2019-01-13,684.6,376371,142,6376,Funny,0,127,2525,1,69378,0,20338,36,0,281,9539019,553863,464147,102,102
143,972,64681770050,2019-01-13,683.0,196871,143,2811,Funny,0,74,8561,3,4962,0,1360,36,0,655,1258807,230410,224088,52,48
144,662,64816010910,2019-01-13,680.6,75834,144,5047,Funny,0,195,19754,5,5231,0,11484,16,0,47,658949,136812,120097,271,271
145,659,92946666277,2019-01-13,676.6,9144591,145,-2781,Funny,0,182,25624,2,0,0,0,7,0,3,34290003,9113695,9113695,324,321
146,1501,65353876235,2019-01-13,669.5,86149,146,1213,Funny,0,159,37637,8,168,0,8425,11,0,612,850997,85190,76597,1024,789
147,71,103470780275,2019-01-13,666.1,657595,147,919,Funny,0,68,8703,3,0,0,0,19,0,301,4211144,661686,661686,234,225
148,678,95461013503,2019-01-13,661.4,4649133,148,-2563,Funny,0,191,55969,1,3529,0,1385,7,0,45,29937994,4581487,4576573,188,188
149,68,55146644897,2019-01-13,661.0,1068273,149,1185,Funny,0,24,2664,1,132755,0,24726,4,0,382,5923581,1650583,1493102,43,43
150,5537,62427282029,2019-01-13,941.8,8958842,150,58410,Game,1,3942,397045,1,110443,0,4310177,3,0,121,68718071,14837741,10417121,125,112
151,6289,92839691936,2019-01-13,913.9,11480839,151,51538,Game,1,580,322435,1,25,0,3955029,13,0,222,110231449,17124068,13169014,268,232
152,9462,99456796088,2019-01-13,908.9,1444951,152,125111,Game,1,16549,792471,3,0,0,53669,22,0,123,19511335,2747795,2694126,131,119
153,4082,61739671977,2019-01-13,901.1,2548359,153,47380,Game,1,3774,220531,1,0,0,1910980,17,0,191,17874269,4910391,2999411,185,139
154,5822,96560168975,2019-01-13,896.6,970329,154,119948,Game,1,7969,1026209,2,0,0,38760,29,0,206,22941741,1582101,1543341,211,211
155,1534,77085920527,2019-01-13,881.5,3631213,155,38091,Game,1,1565,238466,1,138,0,612343,8,0,1,23993538,5862943,5250462,89,89
156,2007,98020013280,2019-01-13,870.2,4129109,156,34636,Game,1,593,235472,1,0,0,88113,43,0,635,59612027,4700367,4612254,234,217
157,3669,72673737181,2019-01-13,863.9,2659343,157,10328,Game,1,1837,185726,2,0,0,3887,44,0,835,33306190,2966097,2962210,255,255
158,1092,98097940152,2019-01-13,857.8,1579808,158,76378,Game,1,1202,82192,1,0,0,0,1,0,0,22498167,2300828,2300828,237,237
159,2859,97486439601,2019-01-13,854.2,1322056,159,24747,Game,1,1945,91981,1,247431,0,91159,131,0,111,13314568,2058674,1720084,215,215
